Tanggal,Tahun,Bulan,IdBahan,Jumlah_SPK,Total_Jumlah_Item,Total_Permintaan,Total_Aktual
1/1/2021,2021,1,B002,1,138,133,147
1/1/2021,2021,1,B009,1,1,88,74
1/1/2021,2021,1,B010,8,307,19.22,20.27
1/1/2021,2021,1,B011,2,6,0.94,0.84
1/1/2021,2021,1,B012,5,661,146.02,153.72
1/1/2021,2021,1,B013,3,628,85.35,76.97
1/1/2021,2021,1,B014,2,6,0.92,0.98
1/1/2021,2021,1,B015,2,32,10.23,9.08
1/1/2021,2021,1,B016,7,665,60.38,64.31
1/1/2021,2021,1,B017,1,35,4.17,4.88
1/1/2021,2021,1,B018,1,35,44.9,52.13
1/1/2021,2021,1,B019,3,18,18,15
1/1/2021,2021,1,B020,3,18,19,21
1/1/2021,2021,1,B021,1,81,321,377
1/1/2021,2021,1,B023,15,846,1303.68,1379.65
1/1/2021,2021,1,B029,1,138,134,117
1/1/2021,2021,1,B031,1,52,34.26,36.51
1/1/2021,2021,1,B032,1,96,20.61,22.82
1/1/2021,2021,1,B036,1,1,0.05,0.05
1/1/2021,2021,1,B040,1,152,39.47,43.49
1/1/2021,2021,1,B043,2,63,10.28,8.54
1/1/2021,2021,1,B049,2,279,70.99,74.94
1/1/2021,2021,1,B052,8,307,25.98,30.34
1/1/2021,2021,1,B053,2,6,2.71,2.36
1/1/2021,2021,1,B055,1,5,0.79,0.9
1/1/2021,2021,1,B057,7,40,6.42,6.03
1/1/2021,2021,1,B062,3,155,34.58,29.7
1/1/2021,2021,1,B063,1,14,2.67,2.94
1/1/2021,2021,1,B065,1,213,40.31,47.53
1/1/2021,2021,1,B066,1,15,0.79,0.91
1/1/2021,2021,1,B069,9,308,303,340
1/1/2021,2021,1,B071,15,888,214.31,183.81
1/1/2021,2021,1,B072,1,1,2,3
1/1/2021,2021,1,B074,1,1,9.89,10.8
1/1/2021,2021,1,B076,3,18,71,83
1/1/2021,2021,1,B077,9,309,417,479
1/1/2021,2021,1,B078,3,5,3.42,3.72
1/1/2021,2021,1,B079,6,254,21832,18028
1/1/2021,2021,1,B081,6,335,454.23,426.55
1/1/2021,2021,1,B082,5,160,860.7,962.35
1/1/2021,2021,1,B088,2,12,213.08,248.77
1/1/2021,2021,1,B089,1,208,4358.06,4897.05
1/1/2021,2021,1,B092,2,9,77.98,71.47
1/1/2021,2021,1,B093,1,1,30.22,35.1
1/1/2021,2021,1,B096,4,28,567.96,646.23
1/1/2021,2021,1,B102,6,289,2358.84,2731.52
1/1/2021,2021,1,B103,1,35,151.07,169.27
1/1/2021,2021,1,B106,4,14,124.84,111.37
1/1/2021,2021,1,B108,8,300,613,708
1/1/2021,2021,1,B110,2,54,152,176
1/1/2021,2021,1,B114,3,6,10,11
1/1/2021,2021,1,B115,3,9,15,17
1/1/2021,2021,1,B116,5,82,233,216
1/1/2021,2021,1,B117,1,213,40.24,35.46
1/1/2021,2021,1,B118,9,309,4296,4696
1/1/2021,2021,1,B119,7,119,117,106
1/1/2021,2021,1,B120,3,130,292,341
1/1/2021,2021,1,B123,8,300,300,339
1/1/2021,2021,1,B127,4,8,16,18
1/1/2021,2021,1,B131,1,35,35,38
1/1/2021,2021,1,B132,8,306,712.02,609.62
1/1/2021,2021,1,B136,1,1,4.88,5.54
1/1/2021,2021,1,B138,2,7,3.59,4.19
1/1/2021,2021,1,B143,2,4,8.12,8.68
1/1/2021,2021,1,B144,1,34,24.38,27.27
1/1/2021,2021,1,B145,1,9,9.24,9.72
1/1/2021,2021,1,B146,1,1,2.15,2.03
1/1/2021,2021,1,B147,1,278,842.78,738.18
1/1/2021,2021,1,B151,1,1,4.08,4.58
1/1/2021,2021,1,B152,1,12,8.42,7.57
1/1/2021,2021,1,B154,1,14,12.54,13.53
1/1/2021,2021,1,B156,1,1,0.97,0.9
1/1/2021,2021,1,B158,3,27,45.07,49.52
1/1/2021,2021,1,B161,8,54,136.2,152.65
1/1/2021,2021,1,B165,1,3,1.84,1.97
1/1/2021,2021,1,B168,1,3,3,2
1/1/2021,2021,1,B169,1,74,75,84
1/1/2021,2021,1,B170,1,2,6.3,6.86
1/1/2021,2021,1,B171,2,110,183,193
1/1/2021,2021,1,B173,1,1,2.58,2.82
1/1/2021,2021,1,B175,9,170,160.6,139
1/1/2021,2021,1,B177,2,121,111,128
1/1/2021,2021,1,B181,1,3,3,4
1/1/2021,2021,1,B188,1,5,5,4
1/1/2021,2021,1,B192,15,1113,204.86,174.9
1/1/2021,2021,1,B205,15,1114,6486.9,7405.41
1/1/2021,2021,1,B207,1,138,146,169
1/1/2021,2021,1,B209,1,2,2,3
1/1/2021,2021,1,B215,4,24,25,23
1/1/2021,2021,1,B225,1,2,2,3
1/1/2021,2021,1,B229,2,110,518.2,463.57
1/1/2021,2021,1,B237,15,740,123.16,137.18
1/1/2021,2021,1,B238,1,15,1.49,1.69
1/1/2021,2021,1,B239,14,952,741.87,868.89
1/1/2021,2021,1,B241,15,623,751.68,688.3
1/1/2021,2021,1,B242,6,337,110.48,129.64
1/1/2021,2021,1,B255,8,75,67.6,71.57
1/1/2021,2021,1,B259,6,254,11011,12216
1/1/2021,2021,1,B260,8,300,292,311
1/1/2021,2021,1,B261,4,8,8,9
1/1/2021,2021,1,B262,3,209,178.04,191.68
1/1/2021,2021,1,B263,8,277,136.97,155.57
1/1/2021,2021,1,B264,7,269,132.66,153.42
1/1/2021,2021,1,B265,14,378,276.74,306.35
1/1/2021,2021,1,B266,6,32,460,536
1/1/2021,2021,1,B269,7,817,536,494
1/1/2021,2021,1,B284,1,3,3,4
1/1/2021,2021,1,B301,1,74,226,238
1/1/2021,2021,1,B303,1,1,2,1
1/1/2021,2021,1,B304,1,20,19,22
1/1/2021,2021,1,B305,2,16,17,19
1/1/2021,2021,1,B309,4,8,8,9
1/1/2021,2021,1,B310,1,6,38,33
1/1/2021,2021,1,B312,2,7,33,38
1/1/2021,2021,1,B314,2,76,115,103
1/1/2021,2021,1,B315,1,15,0.75,0.81
1/1/2021,2021,1,B319,15,1054,357.84,384.7
1/1/2021,2021,1,B320,9,309,149.88,124.47
1/1/2021,2021,1,B321,9,309,4128,4715
1/1/2021,2021,1,B322,8,300,10607,9604
1/1/2021,2021,1,B323,1,138,138,125
1/1/2021,2021,1,B325,1,74,112,122
1/1/2021,2021,1,B326,1,1,2,3
1/1/2021,2021,1,B327,1,1,9,8
1/1/2021,2021,1,B331,1,8,34,31
1/1/2021,2021,1,B333,1,8,43,49
1/1/2021,2021,1,B339,1,7,28,25
1/1/2021,2021,1,B344,1,7,27,29
1/1/2021,2021,1,B352,3,77,72.43,62.37
1/1/2021,2021,1,B354,1,1,0.42,0.35
1/1/2021,2021,1,B360,1,35,294,323
1/1/2021,2021,1,B372,7,263,783.19,891.84
1/1/2021,2021,1,B373,1,1,0.96,1.07
1/1/2021,2021,1,B375,3,30,74.46,82.08
1/1/2021,2021,1,B376,1,234,572.58,638.88
1/1/2021,2021,1,B377,15,1114,246.86,276.33
1/1/2021,2021,1,B380,1,213,124.68,103.82
1/1/2021,2021,1,B381,13,1020,474.42,517.45
1/1/2021,2021,1,B382,2,6,2.2,2.44
1/1/2021,2021,1,B383,1,87,72,76
1/1/2021,2021,1,B387,1,90,91,75
1/1/2021,2021,1,B492,1,15,0.6,0.55
1/1/2021,2021,1,B493,1,1,2,1.67
1/1/2021,2021,1,B494,1,138,134,150
1/1/2021,2021,1,B497,1,15,1.6,1.85
1/1/2021,2021,1,B508,1,10,8.99,10.27
2/1/2021,2021,2,B010,8,349,20.72,23.35
2/1/2021,2021,2,B011,2,7,1.18,1.39
2/1/2021,2021,2,B012,5,623,125.2,139.2
2/1/2021,2021,2,B013,4,603,76.52,80.98
2/1/2021,2021,2,B014,2,7,1.09,0.93
2/1/2021,2021,2,B015,1,21,4.04,4.26
2/1/2021,2021,2,B016,7,630,51.83,59.53
2/1/2021,2021,2,B017,1,91,10.98,12.7
2/1/2021,2021,2,B018,3,95,158.16,171.17
2/1/2021,2021,2,B019,3,18,17,15
2/1/2021,2021,2,B020,3,18,19,22
2/1/2021,2021,2,B023,15,974,1607.33,1829.79
2/1/2021,2021,2,B025,1,1,1,1
2/1/2021,2021,2,B029,1,74,69,74
2/1/2021,2021,2,B031,1,9,6.55,7.21
2/1/2021,2021,2,B032,1,58,9.27,9.94
2/1/2021,2021,2,B033,1,183,35.69,29.67
2/1/2021,2021,2,B042,2,232,80.37,93.87
2/1/2021,2021,2,B043,2,71,9.3,8.11
2/1/2021,2021,2,B049,2,161,41.52,47.34
2/1/2021,2021,2,B052,8,367,27.36,23.5
2/1/2021,2021,2,B053,2,2,1.33,1.47
2/1/2021,2021,2,B055,1,1,0.22,0.26
